step,episode,ep_return,loss,epsilon,eval_mean,eval_std
1000,99,-15.2035,1.293102502822876,0.9953,,
2000,199,-18.5012,2.629422426223755,0.9905,,
3000,299,-18.9084,0.004351865965873003,0.9858,,
4000,399,3.0055,0.16910824179649353,0.9810,,
5000,499,-3.4415,1.6740820407867432,0.9763,,
6000,599,-7.8578,2.9446444511413574,0.9715,,
7000,699,-13.2210,3.722200393676758,0.9668,,
8000,799,-15.0149,2.1370668411254883,0.9620,,
9000,899,3.1274,4.3051862716674805,0.9573,,
10000,999,-20.4463,0.17168110609054565,0.9525,3.154558432024629,1.4504561158432485
11000,1099,-41.5476,0.22724424302577972,0.9478,,
12000,1199,-11.0597,15.808258056640625,0.9430,,
13000,1299,-8.2493,1.7225346565246582,0.9383,,
14000,1399,6.5382,2.0928125381469727,0.9335,,
15000,1499,-16.7476,1.0183533430099487,0.9288,,
16000,1599,-36.9610,1.8050651550292969,0.9240,,
17000,1699,0.0954,1.0890130996704102,0.9193,,
18000,1799,-32.5529,5.6214494705200195,0.9145,,
19000,1899,5.5805,0.11816918849945068,0.9098,,
20000,1999,-5.2657,1.156501054763794,0.9050,6.128582296673612,8.936601031243857
21000,2099,2.6745,4.062319755554199,0.9003,,
22000,2199,-15.4373,1.2508907318115234,0.8955,,
23000,2299,2.9831,1.9738640785217285,0.8908,,
24000,2399,-35.7235,0.02797544188797474,0.8860,,
25000,2499,-40.0656,0.14527928829193115,0.8813,,
26000,2599,1.5610,0.8892061710357666,0.8765,,
27000,2699,-0.4151,0.005256176460534334,0.8718,,
28000,2799,-6.1433,0.0028512689750641584,0.8670,,
29000,2899,-3.3264,1.7326178550720215,0.8623,,
30000,2999,-2.1082,2.581395387649536,0.8575,12.029344916644886,13.9259599104572
31000,3099,-16.3998,0.9161183834075928,0.8528,,
32000,3199,-10.3413,0.26995763182640076,0.8480,,
33000,3299,-20.3444,0.7841875553131104,0.8433,,
34000,3399,-41.3879,5.915530204772949,0.8385,,
35000,3499,-0.4786,0.014746934175491333,0.8338,,
36000,3599,-4.2013,0.34918949007987976,0.8290,,
37000,3699,-22.0395,9.612775802612305,0.8243,,
38000,3799,-2.7056,0.18134985864162445,0.8195,,
39000,3899,-14.4193,0.17130964994430542,0.8148,,
40000,3999,-19.0970,0.00029537486261688173,0.8100,10.499610669305552,5.997340246038546
41000,4099,-17.5192,1.1578929424285889,0.8053,,
42000,4199,-3.2014,0.7459022998809814,0.8005,,
43000,4299,-19.9745,0.37703701853752136,0.7958,,
44000,4399,3.7403,0.8809795379638672,0.7910,,
45000,4499,-2.4048,0.00014469596499111503,0.7863,,
46000,4599,-20.2031,0.009799718856811523,0.7815,,
47000,4699,-10.2905,0.02229330502450466,0.7768,,
48000,4799,-0.3487,0.8565542697906494,0.7720,,
49000,4899,-23.4832,2.8115904331207275,0.7673,,
50000,4999,-21.4820,0.9178270101547241,0.7625,6.630824943283152,7.404723010519189
51000,5099,0.2453,0.1424209177494049,0.7578,,
52000,5199,6.2909,0.8514927625656128,0.7530,,
53000,5299,-25.6790,0.0051625571213662624,0.7483,,
54000,5399,0.3264,2.5570406913757324,0.7435,,
55000,5499,-6.8801,0.00320330448448658,0.7388,,
56000,5599,-51.0282,5.054740905761719,0.7340,,
57000,5699,-3.0264,2.675107002258301,0.7293,,
58000,5799,-1.0162,0.1423727422952652,0.7245,,
59000,5899,-7.6039,2.7202181816101074,0.7198,,
60000,5999,13.4422,1.2053413391113281,0.7150,8.75890718274096,8.4077330145446
61000,6099,-1.1069,0.02984584867954254,0.7103,,
62000,6199,-1.2567,1.3356423377990723,0.7055,,
63000,6299,-0.3988,0.11345719546079636,0.7008,,
64000,6399,-32.2760,3.8313112258911133,0.6960,,
65000,6499,-1.1932,0.03530242294073105,0.6913,,
66000,6599,-4.3165,0.00310903019271791,0.6865,,
67000,6699,12.0437,0.1721702516078949,0.6818,,
68000,6799,7.1511,2.523247241973877,0.6770,,
69000,6899,-15.0769,0.03783537074923515,0.6723,,
70000,6999,-13.2623,0.5222127437591553,0.6675,12.688823316983044,8.971999253217822
71000,7099,-8.8689,0.8312597274780273,0.6628,,
72000,7199,-8.3827,0.1546582132577896,0.6580,,
73000,7299,-4.6263,0.028523435816168785,0.6533,,
74000,7399,1.1580,0.043598197400569916,0.6485,,
75000,7499,9.0831,0.23091058433055878,0.6438,,
76000,7599,5.8077,0.13859057426452637,0.6390,,
77000,7699,-18.6134,0.11978058516979218,0.6343,,
78000,7799,15.0196,0.2299770563840866,0.6295,,
79000,7899,1.1251,1.2127079963684082,0.6248,,
80000,7999,-0.3838,0.017113415524363518,0.6200,14.463286241602962,6.099834111913823
81000,8099,-13.9210,0.4584289491176605,0.6153,,
82000,8199,-13.8853,0.9874368906021118,0.6105,,
83000,8299,9.4307,0.10253067314624786,0.6058,,
84000,8399,-8.0284,0.6967892646789551,0.6010,,
85000,8499,-3.1978,0.004402234684675932,0.5963,,
86000,8599,9.6425,0.05874184891581535,0.5915,,
87000,8699,-37.6657,0.015367145650088787,0.5868,,
88000,8799,4.5360,0.16406749188899994,0.5820,,
89000,8899,-3.4189,0.0006232454907149076,0.5773,,
90000,8999,5.7299,0.01635316200554371,0.5725,7.849745877536913,7.053484813359373
91000,9099,0.9829,0.1179174855351448,0.5678,,
92000,9199,-16.6130,0.5562262535095215,0.5630,,
93000,9299,-9.1701,0.387582927942276,0.5583,,
94000,9399,-19.7829,1.4890297651290894,0.5535,,
95000,9499,-13.8014,0.4618360698223114,0.5488,,
96000,9599,-9.7080,0.9767245054244995,0.5440,,
97000,9699,0.9747,0.20334628224372864,0.5393,,
98000,9799,3.6963,0.1271388679742813,0.5345,,
99000,9899,5.7751,1.2364225387573242,0.5298,,
100000,9999,12.7563,0.06503918021917343,0.5250,7.1142916865155446,8.789395715778825
101000,10099,-20.6010,12.379510879516602,0.5203,,
102000,10199,-8.4947,0.42472270131111145,0.5155,,
103000,10299,0.5678,0.0376744419336319,0.5108,,
104000,10399,9.3992,0.09394161403179169,0.5060,,
105000,10499,0.7748,0.05240646004676819,0.5013,,
106000,10599,-8.2509,3.8660502433776855,0.4965,,
107000,10699,0.3892,7.566827116534114e-05,0.4918,,
108000,10799,2.1044,0.045965466648340225,0.4870,,
109000,10899,-9.9480,0.029205219820141792,0.4823,,
110000,10999,-28.3264,0.9151139259338379,0.4775,6.179757839646052,9.486987969588013
111000,11099,15.2506,0.07066033035516739,0.4728,,
112000,11199,-0.7058,1.438727855682373,0.4680,,
113000,11299,-5.9807,0.10057512670755386,0.4633,,
114000,11399,-1.0407,0.3391976058483124,0.4585,,
115000,11499,-6.6837,4.88634729385376,0.4538,,
116000,11599,7.7312,0.0045456662774086,0.4490,,
117000,11699,-9.0832,0.0022442424669861794,0.4443,,
118000,11799,7.8758,1.2541863918304443,0.4395,,
119000,11899,5.9182,0.7427092790603638,0.4348,,
120000,11999,-2.1176,0.001363507122732699,0.4300,12.47979977525484,7.792506382369526
121000,12099,-15.7457,0.2623286545276642,0.4253,,
122000,12199,-3.3919,0.07511796802282333,0.4205,,
123000,12299,-0.9918,0.18644388020038605,0.4158,,
124000,12399,-1.5504,0.1795002967119217,0.4110,,
125000,12499,-12.3281,0.17449404299259186,0.4063,,
126000,12599,-0.5542,0.9539656639099121,0.4015,,
127000,12699,-2.2722,0.06460223346948624,0.3968,,
128000,12799,4.1339,0.2590973675251007,0.3920,,
129000,12899,4.1582,0.02864943817257881,0.3873,,
130000,12999,-7.4540,0.039725661277770996,0.3825,7.526008678301343,8.57297434721154
131000,13099,3.4883,0.09048304706811905,0.3778,,
132000,13199,-9.0154,0.37381890416145325,0.3730,,
133000,13299,-1.1808,1.691375732421875,0.3683,,
134000,13399,0.1222,0.11989697068929672,0.3635,,
135000,13499,1.6130,0.016204003244638443,0.3588,,
136000,13599,-15.2292,1.260711669921875,0.3540,,
137000,13699,7.3151,0.12801095843315125,0.3493,,
138000,13799,-11.7801,0.4587574303150177,0.3445,,
139000,13899,18.6248,0.07190797477960587,0.3398,,
140000,13999,9.2022,0.020356085151433945,0.3350,9.228157093388313,6.73901116423392
141000,14099,2.4735,0.0005689378594979644,0.3303,,
142000,14199,-4.8078,0.00582567835226655,0.3255,,
143000,14299,5.8557,1.2281453609466553,0.3208,,
144000,14399,-10.6138,0.0055181109346449375,0.3160,,
145000,14499,13.4241,0.09947149455547333,0.3113,,
146000,14599,3.9175,0.12503379583358765,0.3065,,
147000,14699,10.9219,0.3448587954044342,0.3018,,
148000,14799,16.3067,0.011773069389164448,0.2970,,
149000,14899,5.7909,0.02997925877571106,0.2923,,
